Member_ID,First_Name,Last_Name,Gender,Age,Height,Weight,Hours_Sleep,Calories_Consumed,Exercise_Calories_Burned,Date
886857,Earl,Labbey,M,30,5.7,94,6,1841,414,03/28/2017
857957,Land,Thoresbie,M,31,6.5,180,7,2376,836,04/24/2017
293266,Otho,Southworth,M,32,6.8,208,8,773,403,04/05/2017
750931,Boone,O'Cleary,M,82,6.8,80,9,2596,246,06/05/2017
515046,Yuri,Swin,M,71,6.1,225,10,2546,456,06/12/2017
764854,Orton,Heynen,M,74,5.3,205,9,2697,938,11/30/2017
371659,Sena,Ewen,F,96,6.5,250,10,782,463,06/02/2017
490911,Maxy,Penkethman,M,93,6.7,160,5,1634,590,04/07/2017
892018,Colleen,Scopyn,F,18,5.2,143,5,1460,808,09/14/2017
940527,Rutger,Matts,M,89,5.9,191,9,1527,219,02/19/2017
602944,Elna,Pettus,F,85,6.7,97,5,2161,316,10/09/2017
333434,Wilden,Gaunter,M,77,7,246,10,1619,679,01/29/2017
560074,Rowen,Covington,M,65,6.6,233,5,407,215,09/19/2017
708914,Goldia,Vlach,F,66,5.3,187,6,1187,493,05/13/2017
520356,Britt,Skingley,F,66,5.1,134,8,1137,387,07/31/2017
448042,Kati,Mealing,F,54,6.9,174,7,2585,221,01/30/2017
572083,Jonis,Mosdill,F,35,6.5,101,6,1440,652,10/18/2017
364719,Alix,Doget,F,85,5.3,124,10,2131,246,01/15/2017
595285,Thatcher,Antyukhin,M,51,5.5,63,10,1530,495,11/21/2017
649930,Ilyse,Kightly,F,91,6.2,151,9,1266,222,12/21/2017
639129,Rosanne,Gritland,F,40,5.9,237,6,880,757,04/20/2017
610446,Edy,Risom,F,57,6.3,168,8,722,868,12/08/2017
206368,Veda,Josilevich,F,97,5.4,196,5,1557,853,08/05/2017
455427,Jonell,Wisden,F,30,6.2,124,7,1881,228,06/14/2017
618918,Andrey,Whitter,M,51,6.7,124,8,578,355,10/15/2017
897290,Melita,Maiden,F,48,5.5,138,10,1417,667,09/13/2017
130067,Elnora,Scarratt,F,42,5.6,209,8,1509,628,02/20/2017
829032,Oran,Kaysor,M,33,6,141,10,417,400,10/31/2017
692741,Janifer,Heardman,F,95,5.4,243,6,2327,470,10/08/2017
49739,Myrilla,Newitt,F,21,5.8,64,6,1090,799,09/19/2017
321647,Clem,Norewood,M,40,6.2,138,10,1186,529,11/14/2017
193542,Kristel,Scone,F,83,6.2,123,10,2167,447,12/14/2017
854281,Humfrid,Holborn,M,25,6.9,103,5,1796,635,04/30/2017
417637,Gaile,Videneev,M,29,6.8,141,5,1887,864,06/28/2017
217176,Gerri,Widdowson,M,52,5.5,91,6,2305,827,06/24/2017
694780,Michal,Tertre,M,72,5.7,144,6,610,563,07/23/2017
915976,Hallsy,Elen,M,92,6.3,201,8,2838,402,05/02/2017
230555,Cesare,Ohlsen,M,62,6.5,144,5,353,965,02/17/2017
998367,Elizabet,Iorns,F,84,6.6,202,6,949,813,10/08/2017
414171,Ulrick,Dinzey,M,87,5.3,240,8,2665,489,10/04/2017
592743,Jonis,Blakey,F,85,6.6,191,7,872,910,10/12/2017
411124,Thor,Sanz,M,96,5.5,122,9,465,569,09/07/2017
875901,Koenraad,McMillan,M,100,5.6,65,5,1439,518,05/22/2017
280282,Dolley,Keward,F,66,6.9,67,9,2543,561,06/28/2017
403105,Giana,Barrie,F,33,6.8,220,6,2714,521,11/01/2017
56714,Gibb,Neeve,M,39,5.2,88,10,1610,238,07/16/2017
516390,Cynthia,Paul,F,71,6.8,197,9,2362,636,01/14/2017
373029,Audre,Gimenez,F,33,5.2,238,7,547,358,10/28/2017
857609,Anett,Wards,F,27,5.8,134,9,1566,486,01/16/2017
975910,Letizia,Edyson,F,45,5.1,163,7,1478,941,07/20/2017
196818,Shelton,Hender,M,41,5.7,180,9,1473,561,12/11/2017
482562,Dana,Williamson,F,83,6.6,212,7,2351,424,09/12/2017
793032,Martie,Dabels,F,24,6.8,150,9,802,391,03/24/2017
469029,Lyman,Rule,M,89,5,140,8,2721,279,12/13/2017
425041,Noam,Neggrini,M,64,6.6,96,5,1351,365,01/17/2017
332930,Noelani,Woodthorpe,F,69,6.5,132,6,2397,513,03/21/2017
546135,Trix,Thrustle,F,98,5.8,105,8,2455,513,05/25/2017
225245,Frasquito,Ashborn,M,55,6.7,191,10,726,815,11/26/2017
749026,Aigneis,Parsley,F,40,5.2,200,6,461,589,09/04/2017
633380,Devin,Deegin,M,62,5.7,74,6,2331,261,08/08/2017
178154,Elset,Wem,F,59,6.8,180,7,347,622,10/09/2017
775180,Lynna,Valdes,F,90,6.4,98,5,2679,615,01/08/2017
665024,Rurik,Pointing,M,42,6.2,211,5,2738,454,03/31/2017
569632,Jobina,Hills,F,56,6,228,9,888,548,12/21/2017
517566,Kaiser,Fullard,M,35,5.1,68,7,1512,638,12/09/2017
245400,Nady,Emeline,F,77,6.8,245,9,1023,965,08/29/2017
281942,Kacey,Jerratsch,F,29,6.7,232,9,1701,245,04/03/2017
617111,Kellby,Jesteco,M,81,5.5,87,7,1310,303,07/01/2017
533694,Marylin,Hawkett,F,59,5.1,206,7,1360,299,05/22/2017
672610,Hube,McTurlough,M,64,6.9,233,6,2733,675,05/12/2017
981358,Elisabetta,Musgrave,F,35,5.3,94,6,1033,507,03/20/2017
999687,Gussy,Kirwood,F,88,5.4,239,10,2190,637,06/29/2017
821377,Courtney,Govini,M,23,5.2,74,6,843,643,05/14/2017
471789,Meridith,Tewkesberry,F,52,5.4,132,10,2592,796,09/01/2017
450303,Tomaso,Fido,M,47,5.8,207,5,2385,618,07/05/2017
363870,Mufinella,Gerard,F,94,6.1,202,9,980,227,08/17/2017
55274,Even,Sutheran,M,87,6.3,134,9,1289,871,01/22/2017
469639,Jozef,Bolens,M,80,5.4,110,5,1247,769,07/17/2017
100359,Jorie,Conboy,F,55,6.6,95,6,1918,832,04/29/2017
819881,Thomasa,Faust,F,44,5.8,224,9,2857,445,06/11/2017
654825,Vladamir,Bartosch,M,74,5.6,113,5,1100,644,03/18/2017
63865,Hope,Cowterd,F,49,5.9,167,9,2863,232,08/05/2017
721979,Kennan,Father,M,55,6.4,240,8,2581,533,11/11/2017
400533,Leonore,McGirr,F,29,6.4,109,10,2492,518,08/08/2017
732854,Winn,Cobain,M,83,6.1,212,7,452,393,03/09/2017
401611,Juliet,Whates,F,94,6.8,250,9,1317,861,10/22/2017
78094,Karee,Willard,F,63,6.7,233,8,2722,280,02/08/2017
436613,Natalya,Demschke,F,36,6,243,9,2275,694,02/03/2017
472822,Rhodie,Suff,F,23,5.1,247,5,2708,242,05/15/2017
379818,Winne,Finnick,F,86,6.4,191,6,2092,242,03/29/2017
887261,Janifer,Grewer,F,57,6.1,215,7,1545,742,05/19/2017
121793,Rudd,Ericssen,M,92,6.1,206,7,325,591,04/14/2017
944239,Chrissy,Janowski,M,95,5.4,236,7,542,249,11/20/2017
581253,Jerrilee,Ethridge,F,93,5.2,174,6,1108,477,08/15/2017
