Member_ID,First_Name,Last_Name,Gender,Age,Height,Weight,Hours_Sleep,Calories_Consumed,Exercise_Calories_Burned,Date
886857,Earl,Labbey,M,30,5.7,94,6,1841,414,03/28/2017
857957,Land,Thoresbie,M,31,6.5,180,7,2376,836,04/24/2017
293266,Otho,Southworth,M,32,6.8,208,8,773,403,04/05/2017
750931,Boone,O'Cleary,M,82,6.8,80,9,2596,246,06/05/2017
515046,Yuri,Swin,M,71,6.1,225,10,2546,456,06/12/2017
764854,Orton,Heynen,M,74,5.3,205,9,2697,938,11/30/2017
371659,Sena,Ewen,F,96,6.5,250,10,782,463,06/02/2017
490911,Maxy,Penkethman,M,93,6.7,160,5,1634,590,04/07/2017
892018,Colleen,Scopyn,F,18,5.2,143,5,1460,808,09/14/2017
940527,Rutger,Matts,M,89,5.9,191,9,1527,219,02/19/2017
602944,Elna,Pettus,F,85,6.7,97,5,2161,316,10/09/2017
333434,Wilden,Gaunter,M,77,7,246,10,1619,679,01/29/2017
560074,Rowen,Covington,M,65,6.6,233,5,407,215,09/19/2017
708914,Goldia,Vlach,F,66,5.3,187,6,1187,493,05/13/2017
520356,Britt,Skingley,F,66,5.1,134,8,1137,387,07/31/2017
448042,Kati,Mealing,F,54,6.9,174,7,2585,221,01/30/2017
572083,Jonis,Mosdill,F,35,6.5,101,6,1440,652,10/18/2017
364719,Alix,Doget,F,85,5.3,124,10,2131,246,01/15/2017
595285,Thatcher,Antyukhin,M,51,5.5,63,10,1530,495,11/21/2017
649930,Ilyse,Kightly,F,91,6.2,151,9,1266,222,12/21/2017
639129,Rosanne,Gritland,F,40,5.9,237,6,880,757,04/20/2017
610446,Edy,Risom,F,57,6.3,168,8,722,868,12/08/2017
206368,Veda,Josilevich,F,97,5.4,196,5,1557,853,08/05/2017
455427,Jonell,Wisden,F,30,6.2,124,7,1881,228,06/14/2017
618918,Andrey,Whitter,M,51,6.7,124,8,578,355,10/15/2017
897290,Melita,Maiden,F,48,5.5,138,10,1417,667,09/13/2017
130067,Elnora,Scarratt,F,42,5.6,209,8,1509,628,02/20/2017
829032,Oran,Kaysor,M,33,6,141,10,417,400,10/31/2017
692741,Janifer,Heardman,F,95,5.4,243,6,2327,470,10/08/2017
49739,Myrilla,Newitt,F,21,5.8,64,6,1090,799,09/19/2017
321647,Clem,Norewood,M,40,6.2,138,10,1186,529,11/14/2017
193542,Kristel,Scone,F,83,6.2,123,10,2167,447,12/14/2017
854281,Humfrid,Holborn,M,25,6.9,103,5,1796,635,04/30/2017
417637,Gaile,Videneev,M,29,6.8,141,5,1887,864,06/28/2017
217176,Gerri,Widdowson,M,52,5.5,91,6,2305,827,06/24/2017
694780,Michal,Tertre,M,72,5.7,144,6,610,563,07/23/2017
915976,Hallsy,Elen,M,92,6.3,201,8,2838,402,05/02/2017
230555,Cesare,Ohlsen,M,62,6.5,144,5,353,965,02/17/2017
998367,Elizabet,Iorns,F,84,6.6,202,6,949,813,10/08/2017
414171,Ulrick,Dinzey,M,87,5.3,240,8,2665,489,10/04/2017
592743,Jonis,Blakey,F,85,6.6,191,7,872,910,10/12/2017
411124,Thor,Sanz,M,96,5.5,122,9,465,569,09/07/2017
875901,Koenraad,McMillan,M,100,5.6,65,5,1439,518,05/22/2017
280282,Dolley,Keward,F,66,6.9,67,9,2543,561,06/28/2017
403105,Giana,Barrie,F,33,6.8,220,6,2714,521,11/01/2017
56714,Gibb,Neeve,M,39,5.2,88,10,1610,238,07/16/2017
516390,Cynthia,Paul,F,71,6.8,197,9,2362,636,01/14/2017
373029,Audre,Gimenez,F,33,5.2,238,7,547,358,10/28/2017
857609,Anett,Wards,F,27,5.8,134,9,1566,486,01/16/2017
975910,Letizia,Edyson,F,45,5.1,163,7,1478,941,07/20/2017
