Member_ID,First_Name,Last_Name,Gender,Age,Height,Weight,Hours_Sleep,Calories_Consumed,Exercise_Calories_Burned,Date
496985,Gerard,Fawdry,M,44,6.7,188,8,1027,892,07/17/2018
381257,Koressa,Habert,F,49,5.5,192,8,2634,598,02/09/2018
700694,Petey,McGowan,M,55,5.4,138,10,2596,949,07/11/2018
595767,Aurore,Twitty,F,70,6.1,161,6,843,406,01/14/2018
864601,Kristian,Bumpass,M,27,6,142,10,513,687,11/01/2018
802447,Sanders,MacFie,M,46,6.7,172,10,2883,824,10/24/2018
97103,Josepha,Farrow,F,54,5.4,181,6,1294,817,01/30/2018
729443,Melisenda,Piggin,F,29,5.5,157,6,2048,896,10/08/2018
949898,Blancha,Sannes,F,51,5,157,10,2179,430,08/08/2018
971847,Bondie,Staite,M,42,6.8,154,10,2742,495,07/02/2018
707124,Nicolai,Echallie,M,69,5.8,200,9,2310,205,09/26/2018
863012,Terri-jo,Trynor,F,47,5.8,150,8,1122,451,07/19/2018
782720,Dita,Enos,F,66,6,197,8,1388,967,06/14/2018
109318,Dionne,Larvin,F,44,5.7,204,6,1639,330,09/11/2018
304812,Eddy,Helwig,M,38,6.2,144,9,2072,543,07/23/2018
607411,Bail,Gravatt,M,65,7,131,6,345,665,09/18/2018
908355,Cassandre,Gitthouse,F,46,6.9,196,8,1519,333,04/17/2018
766817,Deonne,Greensides,F,68,6.6,130,10,1654,440,06/27/2018
767534,Lurline,Alenin,F,35,5.9,127,6,2279,670,11/07/2018
910943,Barr,Voss,M,22,5.5,127,8,979,446,10/11/2018
994279,Phillip,Godain,M,41,5.4,176,7,1148,518,04/18/2018
411031,Tracey,Lerhinan,M,62,5.3,174,8,2449,974,05/21/2018
354720,Rania,Cohan,F,30,5.1,153,10,2799,561,03/30/2018
379553,Hewitt,Dourin,M,58,6.2,149,9,754,932,09/17/2018
535085,Seana,Wellen,F,41,6.7,169,9,1857,509,10/07/2018
158095,Kenneth,Strothers,M,45,5.2,197,7,646,758,04/03/2018
757388,Ben,Pfeffel,M,56,5.4,179,8,1018,203,08/20/2018
309492,Jerome,Itzhak,M,40,5.6,217,10,1836,450,07/23/2018
692797,Kaitlyn,Nugent,F,25,5.4,147,6,1011,989,11/04/2018
994300,Felizio,Vowden,M,20,6.1,190,7,2473,649,02/28/2018
332089,Tris,Norledge,M,66,5.3,166,6,789,233,08/13/2018
416898,Tedmund,Bamell,M,54,6.1,130,6,470,284,02/19/2018
265296,Haley,Streader,F,27,6.8,124,8,1656,268,06/20/2018
397847,Peggy,Seamans,F,37,6.6,164,9,2741,849,03/09/2018
642077,Karia,Aicken,F,30,5.1,140,7,1113,914,11/03/2018
745230,Guillemette,Brackley,F,45,6.4,135,7,505,719,02/20/2018
599123,Reagen,Addey,M,21,6.2,179,6,2810,654,10/27/2018
133896,Laney,Vigars,M,36,6.6,216,7,385,765,05/04/2018
798518,Jeremy,Giraudat,M,34,5.6,212,7,675,224,03/06/2018
495427,Jessalyn,Hamshar,F,49,6.2,163,10,310,300,07/30/2018
529776,Jocelyn,Kleanthous,F,23,5.5,131,9,2618,611,02/28/2018
944482,Louise,Ferrand,F,37,,175,6,1157,702,04/23/2018
343646,Ellyn,Miklem,F,50,6.6,208,6,2319,677,03/05/2018
977672,Gerrard,Ferreo,M,70,7,160,9,1701,963,08/27/2018
100485,Marcelle,Peyro,F,30,6.2,133,9,2747,767,04/02/2018
719154,Bond,Salasar,M,24,6.8,202,7,1681,673,10/28/2018
977257,Beniamino,Wegenen,M,45,6.5,207,7,810,279,09/13/2018
537314,Jesus,Gateman,M,59,6.5,167,7,2410,834,08/24/2018
734515,Leontine,Oxx,F,69,6.4,150,6,1664,738,10/04/2018
